,val_updated,date_,event_type
139,2018-10-09 18:32:44.346105+00:00,2018-10-09 18:32:44.346105+00:00,7
140,2018-10-09 18:34:10.746376+00:00,2018-10-09 18:34:10.746376+00:00,5
141,2018-10-09 18:35:43.486206+00:00,2018-10-09 18:35:43.486205+00:00,7
142,2018-10-09 18:35:43.580466+00:00,2018-10-09 18:35:43.580465+00:00,7
143,2018-10-09 18:36:43.301255+00:00,2018-10-09 18:36:43.301254+00:00,7
144,2018-10-09 18:37:30.098985+00:00,2018-10-09 18:37:30.098985+00:00,5
145,2018-10-09 18:37:43.457256+00:00,2018-10-09 18:37:43.457255+00:00,1
146,2018-10-09 18:38:41.817545+00:00,2018-10-09 18:38:41.817545+00:00,7
147,2018-10-09 18:39:37.451654+00:00,2018-10-09 18:39:37.451653+00:00,7
148,2018-10-09 18:39:37.505704+00:00,2018-10-09 18:39:37.505703+00:00,7
149,2018-10-09 18:40:55.755624+00:00,2018-10-09 18:40:55.755624+00:00,5
150,2018-10-09 18:40:55.841445+00:00,2018-10-09 18:40:55.841444+00:00,5
151,2018-10-09 18:40:55.874994+00:00,2018-10-09 18:40:55.874994+00:00,5
152,2018-10-09 18:41:52.471242+00:00,2018-10-09 18:41:52.471242+00:00,5
153,2018-10-09 18:41:52.484883+00:00,2018-10-09 18:41:52.484883+00:00,5
154,2018-10-09 18:42:16.462471+00:00,2018-10-09 18:42:16.462471+00:00,5
155,2018-10-09 18:46:25.685669+00:00,2018-10-09 18:46:25.685669+00:00,5
156,2018-10-09 18:46:25.693162+00:00,2018-10-09 18:46:25.693162+00:00,5
157,2018-10-09 18:46:25.699190+00:00,2018-10-09 18:46:25.699189+00:00,5
158,2018-10-09 18:46:25.705797+00:00,2018-10-09 18:46:25.705797+00:00,5
159,2018-10-09 18:47:40.653991+00:00,2018-10-09 18:47:40.653990+00:00,5
160,2018-10-09 18:50:36.375102+00:00,2018-10-09 18:50:36.375102+00:00,7
161,2018-10-09 18:51:46.812049+00:00,2018-10-09 18:51:46.812048+00:00,1
162,2018-10-09 18:52:36.043356+00:00,2018-10-09 18:52:36.043356+00:00,5
163,2018-10-09 18:52:37.030545+00:00,2018-10-09 18:52:37.030545+00:00,7
164,2018-10-09 18:52:48.871293+00:00,2018-10-09 18:52:48.871292+00:00,1
165,2018-10-09 18:52:48.873302+00:00,2018-10-09 18:52:48.873302+00:00,1
166,2018-10-09 18:53:35.622738+00:00,2018-10-09 18:53:35.622737+00:00,7
167,2018-10-09 18:53:35.651801+00:00,2018-10-09 18:53:35.651801+00:00,5
168,2018-10-09 18:53:35.687560+00:00,2018-10-09 18:53:35.687559+00:00,5
169,2018-10-09 18:53:35.698174+00:00,2018-10-09 18:53:35.698173+00:00,5
170,2018-10-09 18:53:58.203285+00:00,2018-10-09 18:53:58.203284+00:00,1
171,2018-10-09 18:53:58.204833+00:00,2018-10-09 18:53:58.204832+00:00,1
172,2018-10-09 18:53:58.207142+00:00,2018-10-09 18:53:58.207142+00:00,1
173,2018-10-09 18:53:58.208843+00:00,2018-10-09 18:53:58.208843+00:00,1
174,2018-10-09 18:53:58.209955+00:00,2018-10-09 18:53:58.209955+00:00,1
175,2018-10-09 18:53:58.210816+00:00,2018-10-09 18:53:58.210816+00:00,1
176,2018-10-09 18:57:36.179545+00:00,2018-10-09 18:57:36.179545+00:00,1
177,2018-10-09 18:58:01.016390+00:00,2018-10-09 18:58:01.016390+00:00,1
178,2018-10-09 18:58:16.889982+00:00,2018-10-09 18:58:16.889982+00:00,1
179,2018-10-09 20:02:32.369169+00:00,2018-10-09 20:02:32.369169+00:00,1
180,2018-10-09 20:02:35.739983+00:00,2018-10-09 20:02:35.739983+00:00,7
181,2018-10-09 20:03:49.694579+00:00,2018-10-09 20:03:49.694578+00:00,5
182,2018-10-09 20:03:49.702332+00:00,2018-10-09 20:03:49.702332+00:00,5
183,2018-10-09 20:03:49.710167+00:00,2018-10-09 20:03:49.710167+00:00,5
184,2018-10-09 20:04:44.654941+00:00,2018-10-09 20:04:44.654940+00:00,7
185,2018-10-09 20:07:50.764893+00:00,2018-10-09 20:07:50.764892+00:00,7
186,2018-10-09 20:08:03.497861+00:00,2018-10-09 20:08:03.497860+00:00,5
187,2018-10-09 20:08:04.442607+00:00,2018-10-09 20:08:04.442606+00:00,7
188,2018-10-09 20:10:08.815657+00:00,2018-10-09 20:10:08.815657+00:00,5
189,2018-10-09 20:10:59.934742+00:00,2018-10-09 20:10:59.934742+00:00,5
190,2018-10-09 20:10:59.943728+00:00,2018-10-09 20:10:59.943728+00:00,5
191,2018-10-09 20:11:59.623792+00:00,2018-10-09 20:11:59.623791+00:00,1
192,2018-10-09 20:17:45.396223+00:00,2018-10-09 20:17:45.396222+00:00,5
193,2018-10-09 20:20:36.917688+00:00,2018-10-09 20:20:36.917687+00:00,7
194,2018-10-09 20:20:36.999244+00:00,2018-10-09 20:20:36.999243+00:00,7
195,2018-10-09 20:21:42.350315+00:00,2018-10-09 20:21:42.350314+00:00,7
196,2018-10-09 20:22:20.396127+00:00,2018-10-09 20:22:20.396127+00:00,5
197,2018-10-09 20:22:46.439075+00:00,2018-10-09 20:22:46.439075+00:00,1
198,2018-10-09 20:23:59.795944+00:00,2018-10-09 20:23:59.795944+00:00,5
199,2018-10-09 20:23:59.804288+00:00,2018-10-09 20:23:59.804288+00:00,5
200,2018-10-09 20:23:59.811124+00:00,2018-10-09 20:23:59.811123+00:00,5
201,2018-10-09 20:23:59.819043+00:00,2018-10-09 20:23:59.819043+00:00,5
202,2018-10-09 20:25:47.155611+00:00,2018-10-09 20:25:47.155610+00:00,7
203,2018-10-09 20:28:41.399265+00:00,2018-10-09 20:28:41.399265+00:00,7
204,2018-10-09 20:29:45.830785+00:00,2018-10-09 20:29:45.830785+00:00,5
205,2018-10-09 20:30:56.574747+00:00,2018-10-09 20:30:56.574746+00:00,7
206,2018-10-09 20:31:07.208652+00:00,2018-10-09 20:31:07.208652+00:00,5
207,2018-10-09 20:31:40.136044+00:00,2018-10-09 20:31:40.136043+00:00,5
208,2018-10-09 20:31:40.155188+00:00,2018-10-09 20:31:40.155188+00:00,5
209,2018-10-09 20:31:40.161438+00:00,2018-10-09 20:31:40.161438+00:00,5
210,2018-10-09 20:31:42.536053+00:00,2018-10-09 20:31:42.536052+00:00,7
211,2018-10-09 20:33:43.668699+00:00,2018-10-09 20:33:43.668699+00:00,7
212,2018-10-09 20:33:53.110780+00:00,2018-10-09 20:33:53.110780+00:00,1
213,2018-10-09 20:34:35.965556+00:00,2018-10-09 20:34:35.965556+00:00,7
214,2018-10-09 20:35:43.368962+00:00,2018-10-09 20:35:43.368961+00:00,5
215,2018-10-09 20:35:45.955588+00:00,2018-10-09 20:35:45.955587+00:00,7
216,2018-10-09 20:35:46.014908+00:00,2018-10-09 20:35:46.014907+00:00,7
217,2018-10-09 20:36:48.019322+00:00,2018-10-09 20:36:48.019322+00:00,7
218,2018-10-09 20:36:51.632107+00:00,2018-10-09 20:36:51.632107+00:00,5
219,2018-10-09 20:37:41.919871+00:00,2018-10-09 20:37:41.919870+00:00,7
220,2018-10-09 20:37:41.994869+00:00,2018-10-09 20:37:41.994869+00:00,7
221,2018-10-09 20:38:02.095554+00:00,2018-10-09 20:38:02.095554+00:00,5
222,2018-10-09 20:38:02.101978+00:00,2018-10-09 20:38:02.101978+00:00,5
223,2018-10-09 20:38:45.322883+00:00,2018-10-09 20:38:45.322883+00:00,5
224,2018-10-09 20:38:45.330649+00:00,2018-10-09 20:38:45.330649+00:00,5
225,2018-10-09 20:39:12.691537+00:00,2018-10-09 20:39:12.691537+00:00,1
226,2018-10-09 20:39:45.942828+00:00,2018-10-09 20:39:45.942827+00:00,5
227,2018-10-09 20:40:43.792367+00:00,2018-10-09 20:40:43.792366+00:00,7
228,2018-10-09 20:40:43.889076+00:00,2018-10-09 20:40:43.889075+00:00,7
229,2018-10-09 20:41:41.040478+00:00,2018-10-09 20:41:41.040478+00:00,5
230,2018-10-09 20:43:12.548642+00:00,2018-10-09 20:43:12.548641+00:00,1
231,2018-10-09 20:44:31.074551+00:00,2018-10-09 20:44:31.074551+00:00,1
232,2018-10-09 20:44:31.076546+00:00,2018-10-09 20:44:31.076546+00:00,1
233,2018-10-09 20:44:31.077489+00:00,2018-10-09 20:44:31.077489+00:00,1
234,2018-10-09 20:44:31.078461+00:00,2018-10-09 20:44:31.078461+00:00,1
235,2018-10-09 20:44:31.079396+00:00,2018-10-09 20:44:31.079395+00:00,1
236,2018-10-09 20:44:37.364448+00:00,2018-10-09 20:44:37.364448+00:00,7
237,2018-10-09 20:44:49.610481+00:00,2018-10-09 20:44:49.610481+00:00,5
238,2018-10-09 20:44:49.662168+00:00,2018-10-09 20:44:49.662168+00:00,5
239,2018-10-09 20:44:49.670490+00:00,2018-10-09 20:44:49.670489+00:00,5
240,2018-10-09 20:44:49.678867+00:00,2018-10-09 20:44:49.678866+00:00,5
241,2018-10-09 20:44:57.224790+00:00,2018-10-09 20:44:57.224790+00:00,5
242,2018-10-09 20:45:18.586428+00:00,2018-10-09 20:45:18.586428+00:00,1
243,2018-10-09 20:45:18.587608+00:00,2018-10-09 20:45:18.587607+00:00,1
244,2018-10-09 20:45:51.318100+00:00,2018-10-09 20:45:51.318099+00:00,5
245,2018-10-09 20:45:51.324430+00:00,2018-10-09 20:45:51.324430+00:00,5
246,2018-10-09 20:46:38.208713+00:00,2018-10-09 20:46:38.208713+00:00,7
247,2018-10-09 20:46:43.129463+00:00,2018-10-09 20:46:43.129462+00:00,5
248,2018-10-09 20:47:43.789472+00:00,2018-10-09 20:47:43.789472+00:00,1
249,2018-10-09 20:47:43.791261+00:00,2018-10-09 20:47:43.791260+00:00,1
250,2018-10-09 20:48:32.643887+00:00,2018-10-09 20:48:32.643887+00:00,1
251,2018-10-09 20:48:32.645090+00:00,2018-10-09 20:48:32.645090+00:00,1
252,2018-10-09 20:48:32.646508+00:00,2018-10-09 20:48:32.646507+00:00,1
253,2018-10-09 20:48:38.198086+00:00,2018-10-09 20:48:38.198085+00:00,7
254,2018-10-09 20:48:43.382794+00:00,2018-10-09 20:48:43.382793+00:00,5
255,2018-10-09 20:49:36.734014+00:00,2018-10-09 20:49:36.734014+00:00,7
256,2018-10-09 18:53:35.622738+00:00,2018-10-09 20:50:39.496607+00:00,7
257,2018-10-09 20:51:12.293383+00:00,2018-10-09 20:51:12.293383+00:00,1
258,2018-10-09 20:51:29.001596+00:00,2018-10-09 20:51:29.001596+00:00,1
259,2018-10-09 20:51:29.005299+00:00,2018-10-09 20:51:29.005299+00:00,1
260,2018-10-09 20:51:50.749513+00:00,2018-10-09 20:51:50.749513+00:00,5
261,2018-10-09 20:51:50.757309+00:00,2018-10-09 20:51:50.757309+00:00,5
262,2018-10-09 19:41:39.281306+00:00,2018-10-09 20:52:32.671154+00:00,7
263,2018-10-09 20:52:39.068995+00:00,2018-10-09 20:52:39.068995+00:00,7
264,2018-10-09 20:52:57.728063+00:00,2018-10-09 20:52:57.728063+00:00,5
265,2018-10-09 20:52:57.735655+00:00,2018-10-09 20:52:57.735655+00:00,5
266,2018-10-09 20:53:45.375012+00:00,2018-10-09 20:53:45.375012+00:00,5
267,2018-10-09 20:58:40.619835+00:00,2018-10-09 20:58:40.619835+00:00,7
268,2018-10-09 20:58:45.327153+00:00,2018-10-09 20:58:45.327152+00:00,1
269,2018-10-09 20:58:45.328238+00:00,2018-10-09 20:58:45.328238+00:00,1
270,2018-10-09 21:01:31.982834+00:00,2018-10-09 21:01:31.982833+00:00,7
271,2018-10-09 21:02:05.443787+00:00,2018-10-09 21:02:05.443787+00:00,1
272,2018-10-09 21:02:41.304411+00:00,2018-10-09 21:02:41.304411+00:00,7
273,2018-10-09 21:02:44.454497+00:00,2018-10-09 21:02:44.454496+00:00,5
274,2018-10-08 18:20:29.037788+00:00,2018-10-09 21:05:02.208000+00:00,7
275,2018-10-09 21:06:13.045703+00:00,2018-10-09 21:06:13.045703+00:00,5
276,2018-10-09 21:07:59.971696+00:00,2018-10-09 21:07:59.971695+00:00,7
277,2018-10-09 21:08:06.045437+00:00,2018-10-09 21:08:06.045436+00:00,1
278,2018-10-09 21:08:37.484493+00:00,2018-10-09 21:08:37.484492+00:00,5
279,2018-10-09 21:08:54.566363+00:00,2018-10-09 21:08:54.566362+00:00,7
280,2018-10-09 21:08:57.736384+00:00,2018-10-09 21:08:57.736384+00:00,1
281,2018-10-09 21:10:39.886432+00:00,2018-10-09 21:10:39.886431+00:00,7
282,2018-10-09 21:11:38.394585+00:00,2018-10-09 21:11:38.394585+00:00,7
283,2018-10-09 21:12:39.469737+00:00,2018-10-09 21:12:39.469736+00:00,7
284,2018-10-09 21:12:52.133357+00:00,2018-10-09 21:12:52.133356+00:00,5
285,2018-10-09 21:12:57.423418+00:00,2018-10-09 21:12:57.423418+00:00,1
286,2018-10-09 21:12:57.425368+00:00,2018-10-09 21:12:57.425367+00:00,1
287,2018-10-09 21:13:27.438791+00:00,2018-10-09 21:13:27.438790+00:00,1
288,2018-10-09 21:13:39.977408+00:00,2018-10-09 21:13:39.977408+00:00,7
289,2018-10-09 21:13:44.379038+00:00,2018-10-09 21:13:44.379037+00:00,5
290,2018-10-09 21:13:44.390796+00:00,2018-10-09 21:13:44.390795+00:00,5
291,2018-10-09 21:13:44.397160+00:00,2018-10-09 21:13:44.397160+00:00,5
292,2018-10-09 21:14:37.741310+00:00,2018-10-09 21:14:37.741310+00:00,1
293,2018-10-09 21:18:22.512047+00:00,2018-10-09 21:18:22.512046+00:00,1
294,2018-10-09 21:18:22.513134+00:00,2018-10-09 21:18:22.513133+00:00,1
295,2018-10-09 21:18:38.973907+00:00,2018-10-09 21:18:38.973907+00:00,7
296,2018-10-09 21:18:39.015698+00:00,2018-10-09 21:18:39.015698+00:00,7
297,2018-10-09 21:19:56.820352+00:00,2018-10-09 21:19:56.820351+00:00,5
298,2018-10-09 21:19:56.829521+00:00,2018-10-09 21:19:56.829521+00:00,5
299,2018-10-09 21:20:43.263453+00:00,2018-10-09 21:20:43.263453+00:00,5
300,2018-10-09 21:20:43.755416+00:00,2018-10-09 21:20:43.755415+00:00,5
301,2018-10-09 21:22:22.704707+00:00,2018-10-09 21:22:22.704707+00:00,1
